NEIGHBORHOOD,ZIP_CODE,PROP_TYPE,SQUARE_FEET,LOT_SIZE,NO_BEDROOMS,TOTAL_BATHS,LIST_PRICE,Predicted_Rent,structural_issues,financing_limitations,property_condition,legal_or_disclosure_gaps,environmental,Disclosure,disclosure_risk_score
,2648,SF,1370,26136.0,2,2,1150000.0,5557.8372003711775,False,True,False,False,False,"Seller is unable to deliver the property in broom clean condition. They will be removing most of what is there now, but there will likely be remaining items the seller is unable to remove. Please consider the cost of a potential cleanout with all offers. This property will not qualify for FHA or VA",0.25
,2649,SF,2275,17729.0,3,2,775000.0,5502.041425111201,False,False,True,False,False,Sold AS IS,0.2
,2346,SF,1391,8276.0,3,2,299000.0,5519.193986899128,False,False,False,True,False,Buyers and Buyers Agent should verify all information contained herein.,0.1
,2536,SF,1344,7200.0,3,2,499000.0,5484.458840523603,False,False,False,False,False,Photos of completed unit. Finished basement as shown available for add'l fee. Ask for info.,0.0
,2673,CC,1246,,2,3,379900.0,4980.649717129956,False,False,False,False,False,Buyer to do due diligence and confirm accuracy of all information on this MLS listing. Agent/Broker nor seller make any guarantees or warranties. See attached Seller's Statement of property condition. Public record lists as a 3 bedroom. AC on second floor only. Solar panels leased.,0.0
,2673,CC,1080,0.0,2,2,339000.0,4847.261012136363,False,False,False,False,False,"2 Cats on premises, please do not let out.",0.0
,2360,CC,1150,261360.0,2,2,425000.0,5408.430144463006,False,False,True,False,False,Buyer/Buyer Agent to perform due diligence. Seller & Seller's Agent make no warranties or representations. Measurements are approximate & buyer must perform due diligence. All information is subject to buyer verification. Assessment lists 1.5 baths. There is 1 full interior bath and exterior shower.,0.2
,2360,CC,895,,2,1,249900.0,3548.604732520774,False,False,False,False,False,"1.  Systems are older, mini split in second floor area does not work well. 2. Given the seller’s current circumstances, they are unlikely to offer any repairs or improvements to the property.  3. Town records are not correct, information for a different house.",0.0
,2324,SF,2054,155255.0,4,3,699900.0,5996.342955598317,False,False,False,False,False,Buyer and buyers agent to perform their own due diligence. Seller to assume/pay outstanding special assessment at closing. Seller currently pays $87 per month for a heat charge but is reimbursed if there are overages. Furniture is negotiable.,0.0
,2370,CC,2114,,2,2,479900.0,4870.670694252048,False,False,False,False,False,"Solar PPA power purchase agreement to transfer to new buyer.  Solar agreement attached to listing. Gas stove in living room non operational.Assessed by town as a 5 bedroom home, title v shows 4 bedrooms.",0.0
,2191,SF,960,3506.0,2,1,600000.0,3836.5576754383137,True,False,False,False,False,French drain in basement,0.3
,2043,SF,1036,5114.0,3,1,799000.0,4323.826964239061,True,False,False,False,True,Sellers installed drain & sump pump in 2018 in basement & no water since then. At rear of large back yard in corner some puddling after heavy rains.  In 2008 sellers treated for powder post beetles. Lead paint test done in 2024- report attached.,0.45
,2738,SF,820,9834.0,1,1,1099900.0,3832.870668780564,False,False,False,True,False,*Seller has never lived in the property. Buyers do your own due diligence,0.1
,2190,CC,900,,1,1,315000.0,3390.3097327589694,False,False,False,False,True,"microwave is not on a dedicated outlet, basement had taken on some water due to gutters backing up. Washing machine outlet pipe needs to be adjusted. Right side yard has a right of way for utility compny to access back of property. Radon mitigation system in place",0.15
,2045,SF,2370,7806.0,3,3,639000.0,7248.828837184195,False,False,False,False,False,All measurements are approximate; buyer/buyer’s agent to perform due diligence. Agent related to seller.,0.0
,2045,CC,1211,,2,2,470000.0,5031.245064235787,True,False,False,False,True,"Flood zone-basement flooded once during current ownership, Unit 1, (2 bedroom unit), is vacant-rent was as of last tenant-tenants will be in units 2 & 3 at closing-both are TAW",0.45
,2050,SF,2350,24200.0,5,4,799900.0,7696.715229930299,False,False,False,False,False,Gas fireplace is an upgrade  MLS interior photos are from other units in Davis Manor to see finishes and styles.  Some pictures are virtually staged.  Condo fees are approximate and expected range from 480 - 625.00 to include water and sewer etc,0.0
,2333,CC,824,,1,1,349900.0,3375.0464828056806,False,False,False,False,False,Faux fire place will be removed,0.0
,2333,SF,768,22500.0,2,1,409900.0,3980.537786809371,False,False,False,False,False,subject to satisfactory housing.,0.0
,2375,SF,1280,29400.0,3,1,549800.0,4108.000757491228,False,False,False,False,False,Ring Door Bell,0.0
,2370,CC,933,194713.0,2,1,267900.0,4001.686554113586,False,False,False,False,False,"new hot water heater, recessed lighting ceiling/light fan fixtures.",0.0
,2360,SF,1027,14810.0,2,1,380000.0,4005.110639320298,False,False,False,True,False,All information contained herein is to the best of the agent's knowledge.The source of all representations are directly from the Seller or public source & haven't been independently verified by the agent/brokerage. It is recommended that the Buyer & Buyer's agent independently verify all information,0.1
,2370,CC,1200,17616.0,3,2,454900.0,5480.76137703413,False,False,False,False,False,Tital Five passed inspection,0.0
,2370,SF,1172,7400.0,3,1,488000.0,4075.346786578883,False,False,False,False,False,Seller is Power of Attorney and has never lived in the home,0.0
,2364,SF,1785,19700.0,3,2,650000.0,5605.457375551119,False,False,True,False,False,"Subject to sellers solidifying rental housing. Alarm system on doors and windows.Window treatments/fridge in garage staying.Propane leased by Churchill operates stove, heater in garage,gas log fireplace,+dryer.Ceiling Fan in living room as is not working. Pool table,couch, tv and mounts in bsmt stay",0.2
,2703,MF,2178,12700.0,4,3,549900.0,6053.634970503263,False,False,False,False,False,"Septic will not pass, it is a cesspool.    Showings begin at open house Saturday August 17, 2024.",0.0
,2360,CC,1744,,2,2,929000.0,4874.546749040631,False,False,False,True,False,"Information are approximate, buyers and agent are responsible for verify all information here. Sold in As-Is, As-Seen condition including personal belongings. Buyer(s) responsible for Smoke & CO compliance certificate.",0.1
,2066,SF,3535,40191.0,4,4,1325000.0,7601.291481204014,False,False,False,True,False,"No ""love letters"" or escalation clauses per sellers request.  The source of all representations are from the seller or a public source; broker has not verified same. It is recommended that buyer independently verify all information",0.1
,2338,CC,1375,,2,2,352000.0,4920.752058287935,False,False,False,False,False,"Central A/C on first floor, heat pump with splits on second floor, every room has direct A/C except basement home office; video/voice recording device on premises",0.0
,2301,SF,2036,10001.0,4,3,625000.0,5995.084442201212,False,False,False,False,False,"Seller believes there may be an easement, Buyers and buyers agents to perform due diligence. Some photos may be virtually enhanced.",0.0
,2719,SF,1000,6791.0,3,1,449000.0,3978.432714818347,False,False,False,True,False,"Buyers and agents must verify all information and perform their own due diligence.  Cabin has it's own electric meter, furnace & water heater; it shares a septic with the house, rated for 3 bedrooms.",0.1
Onset,2558,SF,798,10000.0,2,1,365000.0,,False,False,True,False,False,"buyer/buyer's agent to do their own due diligence/selling ""as is"" seller/seller's agent has no warranties nor guarantees",0.2
Clark Estates/near Pine Hills,2360,SF,2662,40036.0,4,3,899999.0,,False,False,True,False,False,"Property being sold in ""as is, as shown"" condition, with no warranties or representations. Fireplace in living room never used by current owner. Outside shower not functioning.",0.2
,2364,SF,1976,58370.0,3,3,749900.0,5653.109809415369,False,False,False,False,False,Seller never occupied the property.  Buyer and buyers agent to do their due diligence to verify information.,0.0
,2360,SF,1478,10890.0,2,1,450000.0,4145.2166833636165,False,False,False,False,False,owner to complete engineering plans  and new title v prior to closing,0.0
,2360,SF,2054,63123.0,3,2,699900.0,5561.480197309589,False,False,False,False,False,"Refrigerator, dishwasher, gas range, wall oven, microwave, washer & dryer stay as gifts to buyer w/ no value or warranty. Buyer/Buyer's Agent to verify any & all information. Central vac & Jacuzzi tub unknown if working~owners never used. Title V passed. Sprinkler system in front yard only.",0.0
,2360,SF,1050,18295.0,3,1,625000.0,4090.605191012922,False,False,False,False,False,kitchen appliances belong to tenant unsure if they stay. Tenant searching for place to move. Buyer to do their due diligence to confirm all information provided by the Town & Owner. Seller has never occupied the property. uncertain if forced air on 2nd floor.,0.0
,2360,SF,696,7841.0,2,1,385000.0,3968.4070495921424,False,False,False,False,False,"Property disclosure, deed",0.0
,2382,MF,2808,7501.0,4,4,749990.0,5934.833042065548,True,False,True,False,False,"New roof (7/24) New Solar skylight (7/24) Home to be sold as is. Oven does not work, trying to get it fixed. Home has surveillance cameras.",0.5
,1752,SF,2325,13371.0,4,2,650000.0,6462.729267137278,False,False,True,False,False,"This is an estate sale, Being sold ""as is "". All appliances remain as gifts to the buyer. Central Vac & jacuzzi need repair.   Please allow 48 hrs. for acceptance and review of offers if any.",0.2
,1545,SF,1963,25265.0,4,2,689900.0,6490.6117038200455,False,False,False,False,False,The septic system is designed for 3 bedrooms on this property according to the Town of  Falmouth. The seller has been used the extra room on the second level as the fourth bedroom…,0.0
,2050,SF,2590,47916.0,3,3,849000.0,7512.150227477214,False,False,False,False,False,google maps,0.0
Rock Landing,2649,SF,4300,0.21,3,5,3650000.0,,True,False,False,False,False,"Listing agent is related to owner.  House needs some work.  Inspections are for informational purposes only. Newer roof, driveway, windows, furnace and AC.  Optional HOA of $25 a year.",0.3
,2045,MF,1715,5049.0,4,3,599000.0,6507.062902522183,True,False,False,False,False,"Slider has broken seal, liner in chimney has collapsed, Shed is in bad condition, Broiler in oven doesn't work.  Irrigation was disrupted when new leaching field went in and may not be functioning. There is cat in the residence.",0.3
,2066,SF,1404,16248.0,3,1,629000.0,4623.438230702013,False,False,False,False,False,all information to be verified by buyers and agents,0.0
,2760,SF,892,3160.0,3,1,410000.0,3890.915325530847,False,False,False,False,False,Subject to Title 5 Inspection,0.0
,2360,SF,1344,20000.0,3,2,429999.0,5630.5628619568415,False,False,False,False,False,All windows were replaced in 2023 except the picture window in Living room. Property is located in Dennis Historic District.,0.0
Indian Pond Estates,2364,SF,3254,40001.0,4,3,899000.0,,True,False,False,False,False,"Surround sounds speakers have a crackle sound, we don't know if central vac works. The assessor info says 3 bedrooms but that would have to mean the 3rd is in the basement & doesn't have the necessary egress.",0.3
Indian Heights Beach Association,2538,SF,2096,10000.0,4,3,599000.0,,False,False,False,False,False,Listing agent related to sellers,0.0
,2367,SF,3398,818928.0,5,3,899999.0,6176.912731503327,True,False,False,False,True,This property is in the AE Flood Zone. Mass Energy Save Insulation 2015. Electric heat pump water heater 2015.,0.45
,2360,SF,1404,28275.0,3,1,499900.0,4183.443684385624,False,False,False,False,False,"Easements on property for sewer lines, etc, see broker for details...",0.0
,2536,SF,2035,19402.0,4,2,875000.0,5631.56482423137,False,False,False,False,False,Airbnb superhost $30k per season. Turn key fully furnished if buyer so desires.,0.0
,2149,CC,631,,1,1,369900.0,3348.634182799384,False,False,True,False,False,HOME TO BE SOLD AS IS,0.2
Indian Mound Beach,2532,SF,824,4791.0,2,1,365000.0,,True,False,False,False,False,"Roof is approx 25 years old, Boiler is approx 15 years old. Fireplace has not been used in many years so condition is unknown.",0.3
Woodland Park,2760,SF,2448,15972.0,4,3,689900.0,,False,False,False,False,False,No water bills. No Electric bills. Solar monthly cost is $104. Natural Gas bill averages $46,0.0
,2540,SF,1375,7854.0,4,2,650000.0,5564.110272526703,False,False,False,False,False,Well maintained /used as a Summer rental,0.0
,2649,SF,1104,22869.0,3,2,549900.0,5467.441117494792,False,False,False,False,False,In attached documents please include signed NSA disclosure & Condo Docs Addendum with all offers.,0.0
,2630,SF,840,3920.0,3,1,699900.0,3937.816046998889,True,False,True,False,False,Property being sold as is.   Pre listing inspection available.  Roof at end of life.,0.5
,2571,CC,882,,2,1,300000.0,3539.128853482264,False,False,True,False,False,Home is being sold 'as is'.  Furnace not working and property may not qualify for conventional funding.,0.2
,2648,SF,1311,20908.0,3,2,409900.0,5622.255317771509,False,False,False,False,False,"Pets restricted to one pet under 35 pounds. Buyer to pay non-refundable $4,500 capital reserve fund contribution fee at closing. Gas grills and all open flame devices not permitted after 10/31/24.",0.0
,2673,SF,1784,15682.0,3,2,549000.0,5595.98149651261,True,False,False,True,False,Passing Title V for both Carriage House and Main House.  The roof was completed 2/2024.  Putting Green was completed 3/2024 includes night time lighting.  Buyer and buyers agent to verify all information here in,0.4
,2532,SF,1144,15987.0,3,2,549900.0,5468.462962376145,False,False,False,True,False,"3 Season, not year-round ; Long Pond has 50HP Motor Limit ; All information is believed to be accurate, buyer and buyer agent to perform own due diligence and verify all information contained within. Ask LB on special conditions that apply.",0.1
,2664,SF,1138,10019.0,4,2,565000.0,5519.205474649448,False,False,False,False,False,"Refrigerator does not convey, D-box to be replaced by seller and is already scheduled. Easy to show. Field Card shows 3 bed, however home is 4 bed and has 4 bed septic.",0.0
,2639,CC,396,,1,1,419900.0,2715.62356659563,True,False,False,False,False,New construction. Foundation now in. Anticipated JULY 2024  timeframe for  completion .2 months condo fees collected at closing  from each buyer for the capital reserve fund.Includes Builder selections for lighting/counters/flooring &  $2400 appliances allowance for range/dishwasher/micro*,0.3
,2638,SF,3380,40005.0,4,4,1995000.0,6138.488248740892,False,False,False,False,False,Adult community 55+ ON LEASED LANDmanufactured home. Buyers are subject to residency approval. Buyers/buyers agent to do their due diligence. Oak Point has its own private sewerage treatment plant. Current fee is $751.97,0.0
,2648,SF,2794,16988.0,3,3,899900.0,5691.839287987372,False,False,True,False,True,2 separate houses (Main House -945sq ft living area/2bed/1ba/waterfront/partially finished basement/main level laundry hookup) (Small House - 367sq ft living area/1bed/1ba/water view/unfinished basement/basement level laundry hookup). Please see attached lead paint disclosure.,0.35
,2632,CC,1206,,2,2,379000.0,4838.240630406568,False,False,False,False,False,See floor plan for room dimensions.,0.0
,2649,SF,1900,42340.0,4,2,699000.0,5646.348481647085,False,False,False,False,False,Rents available upon request. Please do not drive into driveway without an appointment. All information herein to be verified by buyer or buyer's agent. To be sold As-Is. Properties are tenant occupied and 24-hour advance notice is required.,0.0
,2791,SF,2956,14534.0,4,3,1299000.0,6098.077552924903,True,False,False,False,True,Located in AE Flood Zone.,0.45
,2632,SF,1202,14810.0,3,2,549000.0,5474.076139345035,False,False,False,False,False,See Sellers' Statement,0.0
,2639,CC,523,,1,1,399900.0,3210.569232565463,True,False,False,False,False,The Sellers have agreed to repair the overflow leak and it's resulting damage from the upstairs bathroom prior to closing. Title V Passed. All new windows 2021.,0.3
,2660,SF,1386,12196.0,3,2,675000.0,5612.661336875126,True,False,False,False,False,Jotul Wood Stove (has not been used in years). Flood insurance required.Seller to install new septic system.,0.3
,2536,CC,1343,,2,4,499000.0,5080.882317574253,True,False,False,False,False,Chimney needs repointing.,0.3
,2169,SF,1147,3509.0,3,2,599900.0,5195.906547800546,False,False,False,False,False,Photos are from unit 2,0.0
,2660,SF,988,7800.0,3,1,395000.0,4051.0988618047736,False,False,False,True,False,Buyer and / or Buyers agent to verify all information.,0.1
